,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"omega[3, 129]",0.537,0.167,0.28,0.81,2057,723,1.00,0.0037,0.0023
"omega[3, 130]",0.58,0.208,0.22,0.88,1616,790,1.00,0.0052,0.0029
"omega[3, 131]",0.559,0.221,0.2,0.89,1898,724,1.00,0.0049,0.0026
"omega[3, 132]",0.52,0.204,0.18,0.83,1698,842,1.01,0.0053,0.003
"omega[3, 133]",0.354,0.155,0.13,0.63,1711,726,1.00,0.0038,0.0026
"omega[3, 134]",0.47,0.197,0.17,0.8,1476,798,1.01,0.0052,0.003
"omega[3, 135]",0.455,0.143,0.24,0.7,1164,762,1.00,0.0042,0.0031
"omega[3, 136]",0.56,0.152,0.34,0.83,1623,873,1.00,0.0039,0.0024
"omega[3, 137]",0.55,0.206,0.24,0.88,1307,827,1.00,0.0055,0.0029
"omega[3, 138]",0.512,0.221,0.14,0.86,2413,585,1.01,0.0046,0.0025
"omega[3, 139]",0.54,0.198,0.23,0.86,1601,595,1.00,0.005,0.0029
"omega[3, 140]",0.61,0.204,0.24,0.91,2701,688,1.00,0.0043,0.0028
"omega[3, 141]",0.295,0.148,0.091,0.54,1695,787,1.00,0.0035,0.0025
"omega[3, 142]",0.6,0.222,0.21,0.9,1556,741,1.00,0.0059,0.0033
"omega[3, 143]",0.246,0.083,0.13,0.4,1583,678,1.00,0.0021,0.0021
"omega[3, 144]",0.677,0.117,0.5,0.88,1435,606,1.00,0.0031,0.002
"omega[3, 145]",0.31,0.07,0.21,0.42,1886,852,1.00,0.0016,0.0014
"omega[3, 146]",0.524,0.205,0.18,0.84,2094,719,1.01,0.0045,0.0026
"omega[3, 147]",0.628,0.152,0.38,0.85,1895,984,1.00,0.0034,0.0022
"omega[3, 148]",0.869,0.08,0.73,0.97,1468,668,1.00,0.0021,0.0019
"omega[3, 149]",0.52,0.189,0.23,0.83,1426,724,1.00,0.0051,0.0029
"omega[3, 150]",0.79,0.15,0.53,0.96,1214,491,1.00,0.0064,0.0072
"omega[3, 151]",0.43,0.094,0.28,0.57,1570,681,1.00,0.0025,0.0017
"omega[3, 152]",0.512,0.189,0.21,0.8,2291,750,1.00,0.0039,0.0022
"omega[3, 153]",0.72,0.18,0.38,0.95,1573,494,1.00,0.0056,0.005
"omega[3, 154]",0.49,0.287,0.13,0.94,586,675,1.00,0.013,0.0049
"omega[3, 155]",0.353,0.149,0.15,0.62,1462,787,1.00,0.004,0.0028
"omega[3, 156]",0.333,0.154,0.11,0.61,1506,697,1.00,0.0037,0.0026
"omega[3, 157]",0.214,0.105,0.071,0.4,1502,730,1.00,0.0028,0.0027
"omega[3, 158]",0.277,0.146,0.082,0.55,1455,672,1.00,0.0037,0.0028
"omega[3, 159]",0.42,0.115,0.25,0.62,1474,854,1.00,0.0031,0.0022
"omega[3, 160]",0.845,0.11,0.66,0.97,1677,784,1.00,0.0032,0.0051
"omega[3, 161]",0.55,0.229,0.16,0.89,2092,584,1.00,0.005,0.0027
"omega[3, 162]",0.247,0.12,0.072,0.45,1590,819,1.00,0.0029,0.0021
"omega[3, 163]",0.15,0.056,0.073,0.24,1380,750,1.00,0.0014,0.0015
"omega[3, 164]",0.6,0.208,0.24,0.9,1806,859,1.00,0.005,0.0028
"omega[3, 165]",0.212,0.1,0.079,0.39,1505,724,1.00,0.0026,0.0024
"omega[3, 166]",0.435,0.189,0.14,0.77,1773,594,1.00,0.0044,0.0027
"omega[3, 167]",0.447,0.108,0.27,0.61,1422,612,1.00,0.0031,0.0022
"omega[3, 168]",0.36,0.145,0.19,0.64,1386,673,1.00,0.0046,0.0041
"omega[3, 169]",0.72,0.169,0.43,0.94,1209,606,1.01,0.0054,0.0044
"omega[3, 170]",0.285,0.123,0.11,0.5,1420,721,1.00,0.0031,0.0023
"omega[3, 171]",0.38,0.189,0.14,0.75,910,691,1.00,0.0067,0.0049
"omega[3, 172]",0.404,0.193,0.14,0.73,1760,964,1.00,0.0046,0.0029
"omega[3, 173]",0.65,0.207,0.28,0.93,1627,640,1.01,0.0055,0.0036
"omega[3, 174]",0.477,0.226,0.11,0.84,2348,756,1.01,0.0046,0.0025
"omega[3, 175]",0.294,0.171,0.066,0.61,1320,562,1.00,0.0047,0.0036
"omega[3, 176]",0.342,0.074,0.23,0.47,3000,810,1.00,0.0014,0.00096
"omega[3, 177]",0.116,0.046,0.048,0.19,1413,614,1.00,0.0012,0.0011
"omega[3, 178]",0.27,0.17,0.073,0.62,1309,843,1.00,0.0053,0.005
"omega[3, 179]",0.5,0.229,0.13,0.85,1406,657,1.01,0.0061,0.0032
"omega[3, 180]",0.301,0.128,0.13,0.52,2083,710,1.01,0.0028,0.0022
"omega[3, 181]",0.563,0.213,0.21,0.89,1991,874,1.00,0.0047,0.0025
"omega[3, 182]",0.443,0.179,0.17,0.73,1429,611,1.00,0.0047,0.0028
"omega[3, 183]",0.45,0.2,0.16,0.81,1290,756,1.00,0.0056,0.0034
"omega[3, 184]",0.51,0.224,0.16,0.87,2010,822,1.00,0.0051,0.0028
"omega[3, 185]",0.259,0.092,0.14,0.43,1585,799,1.00,0.0027,0.0026
"omega[3, 186]",0.281,0.053,0.2,0.37,1913,814,1.00,0.0012,0.001
"omega[3, 187]",0.468,0.191,0.17,0.79,2080,693,1.00,0.0042,0.0026
"omega[3, 188]",0.47,0.202,0.19,0.84,1868,674,1.00,0.0052,0.003
"omega[3, 189]",0.651,0.188,0.31,0.91,1870,787,1.00,0.0047,0.0034
"omega[3, 190]",0.281,0.096,0.16,0.45,1570,766,1.00,0.0025,0.0023
"omega[3, 191]",0.276,0.083,0.15,0.41,1694,769,1.00,0.002,0.0014
"omega[3, 192]",0.591,0.154,0.32,0.8,2366,755,1.00,0.0036,0.0025
"omega[3, 193]",0.49,0.194,0.16,0.78,1349,706,1.00,0.0054,0.0032
"omega[3, 194]",0.329,0.059,0.24,0.43,2438,703,1.00,0.0012,0.00093
"omega[3, 195]",0.45,0.216,0.13,0.85,1100,914,1.00,0.0066,0.0038
"omega[3, 196]",0.57,0.191,0.25,0.86,1364,622,1.00,0.0054,0.0031
"omega[3, 197]",0.492,0.201,0.2,0.82,1789,803,1.00,0.0048,0.0025
"omega[3, 198]",0.51,0.228,0.13,0.87,1212,611,1.00,0.0064,0.0035
"omega[3, 199]",0.162,0.123,0.024,0.4,1282,946,1.00,0.0034,0.0029
"omega[3, 200]",0.194,0.089,0.09,0.35,1235,686,1.00,0.0028,0.0044
"omega[3, 201]",0.57,0.217,0.21,0.91,2117,877,1.00,0.0049,0.0027
"omega[3, 202]",0.169,0.104,0.038,0.36,1762,748,1.00,0.0024,0.002
"omega[3, 203]",0.771,0.171,0.43,0.97,1951,821,1.00,0.0047,0.0041
"omega[3, 204]",0.282,0.072,0.19,0.41,1364,913,1.00,0.002,0.0018
"omega[3, 205]",0.291,0.095,0.16,0.44,1091,677,1.01,0.0031,0.0033
"omega[3, 206]",0.099,0.056,0.02,0.2,1030,812,1.00,0.0017,0.0011
"omega[3, 207]",0.4,0.17,0.17,0.7,1052,897,1.00,0.0054,0.0039
"omega[3, 208]",0.378,0.136,0.21,0.64,1044,720,1.00,0.0046,0.0038
"omega[3, 209]",0.217,0.1,0.11,0.37,1029,475,1.01,0.0046,0.009
"omega[3, 210]",0.292,0.075,0.18,0.42,1803,910,1.00,0.0018,0.0014
"omega[3, 211]",0.492,0.183,0.22,0.81,1918,764,1.00,0.0041,0.0026
"omega[3, 212]",0.093,0.1,0.016,0.23,915,680,1.00,0.0039,0.0094
"omega[3, 213]",0.087,0.067,0.018,0.22,1338,761,1.00,0.0018,0.0021
"omega[3, 214]",0.09,0.06,0.021,0.2,1006,697,1.00,0.0019,0.0018
"omega[3, 215]",0.624,0.198,0.3,0.91,2528,731,1.00,0.004,0.0023
"omega[3, 216]",0.38,0.215,0.069,0.73,978,805,1.00,0.0069,0.0034
"omega[3, 217]",0.67,0.209,0.28,0.93,2228,793,1.00,0.0053,0.0036
"omega[3, 218]",0.225,0.138,0.056,0.47,1153,768,1.00,0.0042,0.0038
"omega[3, 219]",0.116,0.057,0.039,0.22,1396,582,1.00,0.0014,0.0011
"omega[3, 220]",0.63,0.204,0.25,0.9,909,507,1.00,0.0075,0.0048
"omega[3, 221]",0.142,0.094,0.03,0.33,889,666,1.00,0.0035,0.0029
"omega[3, 222]",0.61,0.229,0.22,0.93,1908,756,1.00,0.0054,0.0028
"omega[3, 223]",0.429,0.224,0.095,0.81,1989,838,1.00,0.0049,0.0027
"omega[3, 224]",0.48,0.208,0.12,0.78,688,423,1.00,0.0083,0.0046
"omega[3, 225]",0.448,0.199,0.13,0.78,1645,707,1.00,0.0048,0.0028
"omega[3, 226]",0.741,0.137,0.5,0.94,1749,805,1.00,0.0033,0.0023
"omega[3, 227]",0.495,0.187,0.18,0.77,1510,656,1.01,0.0049,0.0028
"omega[3, 228]",0.56,0.195,0.21,0.84,1079,771,1.00,0.0062,0.0035
"omega[3, 229]",0.54,0.205,0.24,0.87,1559,877,1.00,0.0052,0.0026
"omega[3, 230]",0.58,0.242,0.15,0.91,1615,907,1.00,0.0062,0.0033
"omega[3, 231]",0.47,0.196,0.17,0.81,1397,724,1.00,0.0051,0.0032
"omega[3, 232]",0.26,0.127,0.085,0.49,1404,446,1.00,0.0035,0.0028
"omega[3, 233]",0.2,0.069,0.1,0.32,1292,774,1.00,0.0019,0.0013
"omega[3, 234]",0.173,0.084,0.044,0.32,1425,539,1.00,0.0021,0.0015
"omega[3, 235]",0.351,0.173,0.11,0.65,1984,916,1.00,0.004,0.0027
"omega[3, 236]",0.53,0.228,0.17,0.87,2066,477,1.00,0.0051,0.0027
"omega[3, 237]",0.103,0.064,0.022,0.22,1483,728,1.00,0.0015,0.0013
"omega[3, 238]",0.72,0.202,0.3,0.96,1131,699,1.00,0.0063,0.0045
"omega[3, 239]",0.759,0.16,0.45,0.95,2720,854,1.00,0.0037,0.0031
"omega[3, 240]",0.406,0.109,0.24,0.6,1929,753,1.00,0.0026,0.0019
"omega[3, 241]",0.16,0.067,0.065,0.28,1237,716,1.00,0.0019,0.0014
"omega[3, 242]",0.064,0.04,0.014,0.14,1613,667,1.00,0.00091,0.00087
"omega[3, 243]",0.3,0.22,0.076,0.81,790,608,1.00,0.0086,0.0076
